iter	Passed	Remaining
0	14	14026
1	27	13681
2	40	13310
3	51	12914
4	62	12379
5	72	12024
6	82	11666
7	90	11277
8	101	11181
9	108	10777
10	115	10359
11	121	9976
12	125	9528
13	130	9175
14	133	8798
15	138	8491
16	142	8212
17	146	7968
18	149	7736
19	153	7515
20	156	7311
21	160	7121
22	163	6966
23	167	6800
24	171	6672
25	174	6525
26	177	6398
27	180	6270
28	183	6151
29	187	6061
30	190	5957
31	194	5876
32	197	5779
33	200	5690
34	203	5606
35	206	5528
36	209	5458
37	212	5388
38	216	5324
39	219	5259
40	222	5197
41	225	5149
42	229	5099
43	232	5057
44	236	5008
45	238	4954
46	242	4918
47	245	4869
48	248	4828
49	251	4782
50	255	4748
51	258	4716
52	261	4678
53	265	4649
54	268	4615
55	271	4578
56	274	4545
57	277	4512
58	281	4485
59	284	4459
60	287	4431
61	291	4405
62	294	4378
63	297	4353
64	300	4328
65	303	4299
66	307	4279
67	310	4251
68	313	4229
69	316	4203
70	319	4177
71	322	4157
72	325	4135
73	328	4115
74	332	4096
75	335	4077
76	338	4060
77	341	4040
78	345	4023
79	348	4005
80	351	3988
81	354	3971
82	358	3956
83	361	3943
84	364	3927
85	368	3912
86	371	3898
87	374	3884
88	378	3870
89	381	3855
90	384	3840
91	387	3823
92	390	3811
93	394	3803
94	398	3793
95	401	3785
96	406	3781
97	409	3772
98	413	3762
99	417	3755
100	420	3742
101	423	3730
102	427	3720
103	430	3710
104	434	3702
105	437	3688
106	440	3678
107	443	3665
108	446	3652
109	450	3644
110	453	3632
111	457	3623
112	460	3611
113	463	3598
114	466	3590
115	469	3579
116	473	3572
117	476	3562
118	480	3554
119	483	3547
120	487	3539
121	490	3529
122	493	3521
123	497	3513
124	500	3504
125	503	3493
126	506	3483
127	509	3473
128	513	3465
129	516	3456
130	519	3445
131	522	3437
132	525	3428
133	529	3420
134	532	3411
135	535	3403
136	539	3396
137	542	3391
138	546	3385
139	549	3378
140	553	3371
141	556	3363
142	559	3353
143	562	3346
144	565	3337
145	569	3330
146	572	3321
147	575	3311
148	578	3304
149	581	3295
150	584	3287
151	587	3277
152	590	3270
153	594	3264
154	597	3254
155	600	3246
156	603	3240
157	606	3233
158	610	3226
159	613	3218
160	616	3211
161	619	3205
162	623	3199
163	626	3193
164	629	3185
165	632	3179
166	636	3172
167	639	3166
168	642	3160
169	645	3153
170	649	3148
171	652	3141
172	655	3134
173	658	3126
174	661	3120
175	665	3114
176	668	3108
177	671	3101
178	674	3094
179	677	3088
180	681	3082
181	684	3075
182	687	3068
183	690	3063
184	693	3056
185	696	3049
186	699	3041
187	702	3034
188	705	3029
189	708	3022
190	712	3017
191	715	3010
192	718	3003
193	721	2999
194	724	2992
195	728	2986
196	731	2981
197	734	2975
198	738	2971
199	741	2964
200	744	2958
201	747	2951
202	750	2946
203	753	2939
204	756	2934
205	759	2928
206	762	2922
207	766	2918
208	769	2913
209	772	2907
210	776	2902
211	779	2896
212	782	2892
213	787	2890
214	790	2886
215	793	2880
216	796	2874
217	800	2869
218	803	2863
219	806	2857
220	809	2853
221	812	2847
222	815	2842
223	818	2836
224	822	2832
225	825	2826
226	828	2821
227	831	2816
228	834	2811
229	838	2806
230	841	2801
231	844	2796
232	848	2792
233	851	2788
234	855	2783
235	858	2779
236	861	2773
237	865	2769
238	868	2763
239	870	2758
240	874	2753
241	877	2748
242	880	2743
243	883	2737
244	886	2731
245	889	2726
246	892	2720
247	895	2715
248	898	2710
249	902	2706
250	905	2703
251	908	2697
252	912	2692
253	915	2687
254	918	2682
255	921	2678
256	925	2674
257	928	2670
258	932	2667
259	936	2665
260	939	2660
261	943	2656
262	946	2651
263	949	2647
264	953	2643
265	956	2638
266	959	2633
267	962	2629
268	965	2624
269	968	2619
270	971	2614
271	974	2609
272	978	2604
273	981	2599
274	984	2594
275	987	2589
276	990	2584
277	993	2580
278	996	2575
279	999	2571
280	1002	2566
281	1006	2561
282	1009	2557
283	1012	2552
284	1015	2547
285	1018	2542
286	1021	2538
287	1025	2534
288	1028	2529
289	1031	2525
290	1034	2521
291	1037	2516
292	1041	2513
293	1044	2508
294	1047	2503
295	1050	2499
296	1053	2494
297	1057	2490
298	1060	2485
299	1063	2481
300	1066	2476
301	1069	2471
302	1072	2466
303	1075	2462
304	1078	2457
305	1081	2452
306	1084	2448
307	1087	2443
308	1090	2438
309	1093	2434
310	1097	2431
311	1100	2427
312	1103	2423
313	1107	2418
314	1109	2413
315	1112	2408
316	1115	2403
317	1118	2399
318	1121	2394
319	1124	2390
320	1128	2386
321	1131	2382
322	1134	2378
323	1137	2374
324	1141	2370
325	1144	2366
326	1147	2362
327	1151	2358
328	1154	2354
329	1157	2349
330	1160	2345
331	1164	2342
332	1168	2339
333	1171	2336
334	1175	2332
335	1178	2328
336	1181	2323
337	1184	2320
338	1187	2315
339	1191	2312
340	1194	2307
341	1197	2303
342	1200	2299
343	1203	2295
344	1206	2290
345	1209	2286
