iter	Passed	Remaining
0	8	8870
1	16	8440
2	24	8114
3	31	7936
4	39	7863
5	46	7720
6	53	7571
7	60	7475
8	66	7372
9	73	7284
10	80	7216
11	86	7143
12	94	7209
13	103	7269
14	110	7281
15	117	7229
16	125	7241
17	136	7426
18	143	7412
19	153	7513
20	162	7553
21	169	7535
22	177	7546
23	185	7548
24	193	7529
25	200	7492
26	206	7448
27	213	7415
28	221	7401
29	229	7411
30	235	7376
31	242	7337
32	249	7301
33	256	7286
34	263	7266
35	270	7248
36	278	7252
37	285	7230
38	293	7241
39	302	7263
40	309	7237
41	316	7213
42	323	7205
43	330	7184
44	340	7218
45	347	7198
46	354	7180
47	361	7168
48	372	7229
49	379	7209
50	387	7217
51	397	7241
52	409	7325
53	417	7321
54	426	7319
55	433	7304
56	442	7319
57	456	7412
58	463	7391
59	472	7395
60	527	8123
61	547	8283
62	556	8269
63	564	8256
64	576	8297
65	584	8271
66	592	8250
67	599	8215
68	606	8179
69	613	8150
70	621	8127
71	627	8092
72	635	8068
73	642	8038
74	649	8009
75	656	7977
76	663	7957
77	671	7937
78	678	7912
79	690	7936
80	698	7921
81	708	7929
82	715	7904
83	722	7880
84	729	7851
85	737	7839
86	742	7793
87	751	7790
88	758	7766
89	765	7742
90	773	7726
91	781	7714
92	788	7693
93	796	7677
94	804	7661
95	816	7684
96	823	7665
97	830	7644
98	837	7625
99	845	7609
100	853	7592
101	861	7584
102	868	7567
103	885	7626
104	892	7608
105	900	7598
106	908	7579
107	915	7565
108	923	7551
109	932	7541
110	944	7564
111	952	7550
112	963	7565
113	972	7558
114	979	7535
115	986	7516
116	995	7512
117	1002	7490
118	1009	7475
119	1017	7458
120	1024	7440
121	1031	7423
122	1038	7405
123	1045	7387
124	1054	7379
125	1061	7359
126	1068	7345
127	1076	7335
128	1085	7326
129	1094	7322
130	1106	7338
131	1113	7322
132	1121	7308
133	1129	7301
134	1137	7290
135	1149	7305
136	1162	7322
137	1170	7311
138	1178	7300
139	1185	7284
140	1194	7276
141	1208	7301
142	1216	7289
143	1228	7301
144	1241	7319
145	1249	7307
146	1259	7310
147	1268	7303
148	1277	7294
149	1285	7281
150	1293	7272
151	1306	7289
152	1315	7284
153	1325	7281
154	1335	7278
155	1343	7268
156	1351	7254
157	1358	7240
158	1367	7233
159	1380	7250
160	1388	7238
161	1396	7223
162	1403	7208
163	1412	7200
164	1421	7191
165	1428	7178
166	1437	7168
167	1444	7155
168	1454	7150
169	1462	7142
170	1471	7131
171	1479	7123
172	1491	7130
173	1501	7127
174	1510	7118
175	1518	7108
176	1526	7097
177	1534	7085
178	1542	7077
179	1551	7068
180	1559	7057
181	1566	7042
182	1574	7030
183	1582	7019
184	1591	7013
185	1599	6999
186	1606	6986
187	1615	6975
188	1622	6963
189	1630	6952
190	1638	6940
191	1646	6930
192	1655	6920
193	1662	6908
194	1671	6898
195	1679	6888
196	1687	6880
197	1697	6874
198	1704	6861
199	1713	6853
200	1721	6843
201	1730	6835
202	1741	6836
203	1748	6824
204	1757	6815
205	1765	6804
206	1773	6794
207	1781	6781
208	1789	6774
209	1802	6779
210	1810	6770
211	1820	6767
212	1828	6757
213	1838	6752
214	1846	6743
215	1858	6744
216	1867	6737
217	1875	6726
218	1884	6721
219	1894	6715
220	1902	6706
221	1910	6694
222	1918	6684
223	1926	6672
224	1934	6662
225	1942	6652
226	1950	6641
227	1958	6630
228	1970	6632
229	1980	6630
230	1988	6620
231	1999	6619
232	2008	6610
233	2016	6601
234	2026	6595
235	2033	6583
236	2041	6572
237	2050	6565
238	2059	6559
239	2069	6554
240	2078	6546
241	2088	6540
242	2098	6538
243	2109	6535
244	2120	6534
245	2129	6525
246	2139	6521
247	2147	6512
248	2156	6504
249	2163	6491
250	2171	6481
251	2180	6473
252	2188	6462
253	2201	6465
254	2209	6454
255	2217	6444
256	2226	6436
257	2234	6425
258	2241	6414
259	2250	6404
260	2261	6402
261	2269	6391
262	2277	6383
263	2286	6373
264	2294	6364
265	2303	6355
266	2311	6346
267	2324	6348
268	2332	6339
269	2340	6329
270	2348	6318
271	2362	6323
272	2370	6313
273	2379	6303
274	2388	6297
275	2397	6289
276	2407	6282
277	2416	6275
278	2428	6276
279	2436	6265
280	2444	6255
281	2454	6249
282	2464	6244
283	2473	6235
284	2481	6225
285	2491	6218
286	2499	6209
287	2507	6199
288	2520	6201
289	2528	6190
290	2537	6181
291	2545	6171
292	2553	6161
293	2562	6153
294	2573	6150
295	2582	6141
296	2590	6132
297	2599	6123
298	2607	6112
299	2614	6101
300	2622	6091
301	2632	6083
302	2639	6072
303	2652	6073
304	2662	6065
305	2672	6060
306	2681	6052
307	2689	6042
308	2698	6033
309	2707	6025
310	2719	6025
311	2728	6016
312	2735	6004
313	2743	5993
314	2751	5984
315	2761	5976
316	2769	5967
317	2777	5957
318	2785	5945
319	2792	5933
320	2799	5922
321	2807	5910
322	2815	5901
323	2825	5896
324	2833	5884
325	2841	5874
326	2849	5864
327	2859	5857
328	2868	5850
329	2879	5847
330	2888	5838
331	2904	5843
332	2912	5834
333	2922	5826
334	2930	5817
335	2938	5807
336	2946	5797
337	2954	5786
338	2962	5776
339	2970	5766
340	2978	5756
341	2986	5746
342	2994	5736
343	3004	5730
344	3013	5721
345	3021	5710
346	3028	5699
347	3036	5689
348	3045	5680
349	3052	5669
350	3061	5660
351	3069	5650
352	3078	5642
353	3086	5632
354	3109	5649
355	3116	5637
356	3126	5630
357	3134	5621
358	3145	5617
359	3153	5606
360	3161	5595
361	3170	5586
362	3178	5576
363	3186	5567
364	3194	5558
365	3203	5548
366	3211	5539
367	3221	5532
368	3232	5527
369	3240	5517
370	3249	5508
371	3260	5504
372	3269	5495
373	3277	5486
374	3287	5478
375	3296	5470
376	3304	5461
377	3312	5450
378	3321	5443
379	3334	5440
380	3342	5430
381	3354	5426
382	3362	5417
383	3370	5406
384	3378	5396
385	3387	5388
386	3396	5380
387	3406	5372
388	3414	5363
389	3422	5353
390	3430	5343
391	3438	5332
392	3446	5323
393	3453	5312
394	3461	5302
395	3469	5291
396	3477	5281
397	3484	5271
398	3493	5261
399	3501	5252
400	3510	5243
401	3518	5234
402	3526	5224
403	3535	5215
404	3544	5206
405	3553	5199
406	3562	5190
407	3572	5183
408	3581	5174
409	3590	5166
410	3600	5159
411	3610	5152
412	3619	5144
413	3630	5138
414	3639	5130
415	3648	5122
416	3658	5114
417	3669	5108
418	3677	5099
419	3686	5091
420	3695	5082
421	3703	5071
422	3711	5062
423	3721	5055
424	3729	5046
425	3737	5036
426	3746	5027
427	3760	5026
428	3771	5019
429	3778	5009
430	3787	4999
431	3795	4990
432	3803	4980
433	3812	4971
434	3820	4962
435	3829	4953
436	3837	4943
437	3845	4934
438	3854	4925
439	3862	4916
440	3871	4907
441	3879	4897
442	3889	4890
443	3898	4882
444	3907	4873
445	3915	4863
446	3923	4853
447	3932	4845
448	3941	4836
449	3950	4828
450	3959	4819
451	3967	4809
452	3974	4799
453	3982	4789
454	3990	4780
455	3999	4771
456	4006	4760
457	4014	4751
458	4023	4741
459	4030	4731
460	4038	4721
461	4046	4712
462	4055	4703
463	4064	4695
464	4074	4687
465	4083	4678
466	4092	4671
467	4104	4665
468	4114	4657
469	4123	4649
470	4133	4642
471	4143	4635
472	4151	4625
473	4173	4630
474	4181	4621
475	4190	4612
476	4199	4603
477	4206	4594
478	4215	4584
479	4223	4575
480	4232	4566
481	4241	4558
482	4249	4548
483	4257	4539
484	4266	4530
485	4274	4520
486	4282	4510
487	4289	4500
488	4298	4491
489	4306	4482
490	4315	4473
491	4330	4471
