iter	RMSE
0	116525.9066
1	114063.7159
2	111606.4485
3	109187.5397
4	106846.0727
5	104529.2701
6	102492.7113
7	100451.5642
8	98516.08867
9	96580.23931
10	94718.95886
11	92935.70241
12	91275.69533
13	89652.61026
14	87950.85829
15	86473.41658
16	84919.10004
17	83340.90387
18	81807.31297
19	80590.34174
20	79236.97221
21	77839.12702
22	76575.96445
23	75513.00909
24	74259.47138
25	73133.79174
26	71922.03093
27	70849.88645
28	69843.44069
29	68931.73939
30	67947.72581
31	67025.69122
32	66236.85563
33	65331.88531
34	64447.79713
35	63725.98917
36	62852.0737
37	62153.70444
38	61536.08064
39	60773.63077
40	60070.78083
41	59344.71856
42	58723.03185
43	58067.92035
44	57393.20338
45	56749.49882
46	56261.63279
47	55624.21955
48	55126.06551
49	54580.8551
50	54024.20147
51	53635.80781
52	53153.75689
53	52610.21905
54	52092.6877
55	51624.54488
56	51177.45485
57	50724.73871
58	50265.92784
59	49789.81726
60	49471.62112
61	49070.04808
62	48667.16221
63	48242.74764
64	47839.06787
65	47363.90958
66	46985.36005
67	46659.32495
68	46311.87544
69	46009.24769
70	45637.07267
71	45371.10707
72	45057.01817
73	44768.08674
74	44501.29184
75	44147.91682
76	44004.88911
77	43683.56609
78	43352.38564
79	43006.61887
80	42803.96409
81	42584.21107
82	42432.46411
83	42175.18313
84	41826.89988
85	41684.81364
86	41408.3751
87	41175.81999
88	40948.08335
89	40707.29411
90	40619.49899
91	40334.35189
92	40205.6699
93	40045.76531
94	39676.50524
95	39440.00665
96	39321.33175
97	39117.5736
98	38910.63657
99	38739.90885
100	38560.30067
101	38312.56789
102	38166.63157
103	38014.49566
104	37736.03088
105	37519.58019
106	37417.33014
107	37216.44989
108	37057.19815
109	36943.12918
110	36718.39463
111	36600.27571
112	36382.46914
113	36037.62151
114	35901.72064
115	35721.23924
116	35373.34068
117	35268.17331
118	35204.17037
119	35073.24275
120	34926.90012
121	34791.65535
122	34612.82416
123	34510.20893
124	34396.93717
125	34270.69959
126	34105.02903
127	33917.1056
128	33793.65152
129	33656.15098
130	33494.87458
131	33462.16168
132	33299.07263
133	33170.16072
134	33068.49519
135	33022.07215
136	32902.06859
137	32608.48794
138	32351.96207
139	32220.65405
140	32037.09931
141	31912.86901
142	31742.91857
143	31676.68439
144	31595.53855
145	31506.4554
146	31386.77859
147	31296.37332
148	31237.49189
149	31212.24918
150	31154.93171
151	31029.47105
152	30935.75872
153	30892.67702
154	30707.48528
155	30598.35216
156	30592.08246
157	30431.32258
158	30248.17603
159	30124.80597
160	29970.49013
161	29890.44256
162	29845.99317
163	29796.52738
164	29745.51231
165	29722.91894
166	29720.69996
167	29704.62666
168	29653.88672
169	29544.02359
170	29482.13035
171	29388.05012
172	29339.96708
173	29306.8634
174	29096.31696
175	29037.60195
176	28792.27743
177	28683.47344
178	28601.11783
179	28527.72955
180	28426.01328
181	28423.941
182	28412.54216
183	28237.75839
184	28164.7862
185	28048.22144
186	28016.83759
187	27864.80264
188	27819.98104
189	27745.23993
190	27650.68253
191	27509.83089
