iter	Passed	Remaining
0	15	15554
1	32	15968
2	51	17116
3	71	17739
4	88	17555
5	107	17847
6	122	17314
7	139	17289
8	158	17474
9	177	17588
10	193	17439
11	224	18505
12	244	18548
13	263	18528
14	282	18519
15	300	18489
16	320	18504
17	341	18645
18	361	18655
19	379	18598
20	401	18730
21	422	18777
22	442	18817
23	462	18801
24	479	18711
25	497	18632
26	515	18590
27	535	18598
28	557	18682
29	577	18683
30	596	18648
31	615	18630
32	639	18737
33	657	18690
34	674	18606
35	691	18507
36	709	18458
37	727	18424
38	745	18372
39	765	18360
40	781	18284
41	799	18234
42	815	18159
43	835	18151
44	862	18306
45	880	18263
46	896	18174
47	912	18104
48	929	18034
49	950	18064
50	972	18103
51	992	18087
52	1015	18148
53	1084	19000
54	1136	19529
55	1167	19680
56	1193	19738
57	1212	19699
58	1233	19673
59	1260	19753
60	1281	19726
61	1301	19683
62	1327	19742
63	1351	19768
64	1368	19689
65	1386	19623
66	1404	19563
67	1423	19507
68	1443	19474
69	1462	19431
70	1483	19415
71	1505	19406
72	1534	19488
73	1558	19500
74	1578	19474
75	1598	19434
76	1616	19373
77	1633	19307
78	1653	19272
79	1673	19248
80	1696	19246
81	1740	19482
82	1757	19417
83	1777	19382
84	1797	19345
85	1815	19296
86	1837	19278
87	1855	19226
88	1875	19196
89	1899	19210
90	1927	19251
91	1947	19216
92	1967	19191
93	1992	19202
94	2015	19201
95	2035	19166
96	2063	19211
97	2097	19308
98	2117	19275
99	2139	19257
100	2156	19193
101	2177	19173
102	2199	19152
103	2224	19160
104	2244	19129
105	2262	19078
106	2282	19046
107	2298	18981
108	2316	18937
109	2337	18911
110	2355	18865
111	2377	18853
112	2399	18832
113	2420	18815
114	2440	18778
115	2458	18738
116	2477	18697
117	2495	18655
118	2516	18631
119	2538	18616
120	2557	18578
121	2583	18594
122	2603	18566
123	2623	18531
124	2640	18480
125	2659	18444
126	2678	18410
127	2697	18379
128	2717	18345
129	2738	18329
130	2759	18308
131	2775	18252
132	2796	18228
133	2822	18238
134	2842	18211
135	2863	18193
136	2886	18180
137	2908	18165
138	2930	18152
139	2955	18152
140	2976	18130
141	2998	18115
142	3019	18096
143	3042	18083
144	3062	18057
145	3089	18070
146	3112	18062
147	3134	18046
148	3153	18012
149	3172	17976
150	3191	17945
151	3211	17915
152	3229	17879
153	3249	17848
154	3265	17804
155	3285	17777
156	3299	17718
157	3328	17738
158	3349	17714
159	3368	17684
160	3386	17646
161	3405	17615
162	3425	17587
163	3443	17555
164	3463	17525
165	3478	17475
166	3493	17423
167	3514	17406
168	3536	17388
169	3555	17359
170	3576	17339
171	3596	17313
172	3616	17289
173	3635	17256
174	3656	17235
175	3675	17210
176	3698	17195
177	3721	17185
178	3741	17159
179	3762	17140
180	3783	17121
181	3799	17075
182	3818	17046
183	3842	17040
184	3860	17008
185	3880	16980
186	3901	16961
187	3922	16943
188	3943	16920
189	3970	16928
190	3993	16914
191	4023	16932
192	4046	16918
193	4064	16887
194	4084	16859
195	4103	16832
196	4132	16842
197	4154	16827
198	4174	16802
199	4195	16782
200	4214	16754
201	4231	16718
202	4253	16699
203	4273	16674
204	4293	16649
205	4311	16618
206	4340	16628
207	4360	16603
208	4379	16574
209	4397	16544
210	4418	16522
211	4437	16492
212	4457	16471
213	4478	16447
214	4497	16421
215	4525	16426
216	4546	16404
217	4568	16386
218	4588	16363
219	4607	16334
220	4627	16310
221	4646	16285
222	4670	16272
223	4687	16239
224	4708	16218
225	4727	16191
226	4750	16176
227	4776	16172
228	4802	16168
229	4824	16150
230	4845	16130
231	4868	16115
232	4908	16159
233	4928	16132
234	4947	16106
235	4971	16093
236	4991	16070
237	5022	16080
238	5042	16054
239	5065	16040
240	5098	16056
241	5126	16056
242	5145	16029
243	5164	16000
244	5186	15981
245	5207	15959
246	5230	15945
247	5249	15917
248	5269	15892
249	5288	15865
250	5305	15831
251	5325	15807
252	5346	15785
253	5365	15757
254	5385	15735
255	5415	15739
256	5434	15711
257	5454	15688
258	5473	15660
259	5493	15636
260	5513	15612
261	5531	15580
262	5550	15553
263	5569	15528
264	5589	15502
265	5609	15478
266	5630	15456
267	5648	15429
268	5667	15402
269	5687	15376
270	5707	15352
271	5726	15325
272	5753	15322
273	5772	15294
274	5793	15272
275	5812	15247
276	5831	15222
277	5850	15194
278	5870	15169
279	5892	15152
280	5909	15121
281	5926	15090
282	5945	15064
283	5965	15038
284	5984	15013
285	6003	14987
286	6023	14963
287	6044	14943
288	6065	14922
289	6085	14897
290	6110	14886
291	6133	14871
292	6151	14844
293	6172	14822
294	6192	14799
295	6211	14773
296	6230	14747
297	6250	14724
298	6268	14696
299	6286	14669
300	6299	14630
301	6319	14606
302	6339	14583
303	6358	14557
304	6376	14530
305	6392	14498
306	6408	14465
307	6427	14440
308	6447	14417
309	6466	14393
310	6486	14370
311	6507	14348
312	6525	14323
313	6546	14301
314	6564	14275
315	6585	14253
316	6605	14232
317	6624	14206
318	6644	14184
319	6672	14178
320	6690	14152
321	6712	14133
322	6732	14110
323	6755	14094
324	6774	14071
325	6794	14047
326	6815	14027
327	6834	14002
328	6854	13980
329	6875	13958
330	6893	13933
331	6910	13904
332	6930	13882
333	6953	13864
334	6979	13855
335	6996	13826
336	7009	13789
337	7026	13762
338	7045	13738
339	7065	13714
340	7081	13685
341	7102	13664
342	7121	13640
343	7143	13622
344	7163	13600
345	7185	13581
346	7203	13556
347	7222	13532
348	7237	13499
349	7256	13476
350	7273	13449
351	7292	13424
352	7322	13421
353	7344	13403
354	7365	13382
355	7383	13356
356	7403	13334
357	7420	13307
358	7444	13292
359	7467	13274
360	7487	13254
361	7507	13231
362	7521	13199
363	7544	13181
364	7561	13155
365	7581	13133
366	7601	13110
367	7620	13086
368	7636	13059
369	7656	13036
370	7676	13014
371	7691	12985
372	7713	12966
373	7744	12963
374	7768	12947
375	7800	12946
376	7819	12921
377	7845	12909
378	7859	12877
379	7878	12853
380	7896	12829
381	7910	12797
382	7929	12774
383	7948	12750
384	7967	12726
385	7986	12704
386	8008	12686
387	8024	12656
388	8044	12634
389	8058	12605
390	8089	12600
391	8115	12587
392	8134	12563
393	8151	12537
394	8172	12518
395	8195	12499
396	8215	12478
397	8234	12455
398	8253	12432
399	8274	12411
400	8294	12389
401	8315	12369
402	8335	12348
403	8356	12328
404	8377	12308
405	8407	12300
406	8422	12271
407	8443	12251
408	8459	12223
409	8478	12201
410	8492	12169
411	8515	12153
412	8531	12125
413	8544	12094
414	8561	12068
415	8579	12044
416	8601	12025
417	8617	11999
418	8637	11976
419	8652	11948
420	8671	11926
421	8688	11899
422	8704	11873
423	8738	11871
424	8760	11851
425	8781	11831
426	8801	11810
427	8823	11792
428	8844	11772
429	8861	11746
430	8877	11719
431	8896	11697
432	8910	11668
433	8929	11645
434	8945	11619
435	8961	11592
436	8978	11566
437	8997	11545
438	9022	11529
439	9042	11508
440	9062	11486
441	9080	11464
442	9097	11438
443	9114	11413
444	9132	11390
445	9145	11360
446	9165	11338
447	9183	11315
448	9206	11298
449	9226	11276
450	9241	11249
451	9258	11224
452	9282	11208
453	9295	11179
454	9314	11156
455	9331	11132
456	9351	11110
457	9369	11088
458	9389	11066
459	9408	11044
460	9428	11024
461	9447	11001
462	9461	10973
463	9481	10952
464	9498	10927
465	9519	10908
466	9538	10887
467	9556	10863
468	9575	10840
469	9594	10819
470	9613	10797
471	9632	10775
472	9647	10748
473	9661	10721
474	9676	10694
475	9694	10672
476	9717	10654
477	9737	10634
478	9750	10605
479	9773	10587
480	9792	10566
481	9814	10547
482	9834	10526
483	9854	10506
484	9874	10485
485	9895	10465
486	9914	10443
487	9933	10421
488	9950	10397
489	9968	10375
490	9994	10361
491	10010	10336
492	10028	10312
493	10050	10294
494	10064	10267
495	10080	10242
496	10104	10226
497	10119	10200
498	10131	10172
499	10150	10150
500	10172	10131
501	10192	10111
502	10209	10087
503	10231	10069
504	10255	10052
505	10269	10025
506	10288	10004
507	10307	9982
508	10321	9956
509	10337	9931
510	10351	9906
511	10366	9880
512	10384	9858
513	10410	9843
514	10433	9825
515	10451	9803
516	10471	9783
517	10496	9767
518	10530	9759
519	10556	9744
520	10572	9720
521	10593	9700
522	10610	9677
523	10629	9655
524	10648	9634
525	10668	9613
526	10683	9588
527	10700	9565
528	10717	9542
529	10737	9521
530	10752	9497
531	10767	9472
532	10782	9447
533	10796	9421
534	10812	9397
535	10838	9382
536	10861	9364
537	10878	9341
538	10896	9319
539	10919	9302
540	10935	9278
541	10957	9259
542	10975	9236
543	10997	9218
544	11019	9199
545	11038	9178
546	11056	9156
547	11074	9134
548	11089	9110
549	11110	9090
550	11125	9065
551	11145	9045
552	11161	9022
553	11178	8999
554	11192	8973
555	11208	8950
556	11229	8930
557	11253	8914
558	11286	8903
559	11312	8888
560	11335	8870
561	11359	8853
562	11375	8829
